sender.location,sender.latitude,sender.longitude,receiver.location,receiver.latitude,receiver.longitude,date,sender.country,receiver.country,journey
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1905-02-25,DEU,USA,50.97178 13.960129 40.712784 -74.005941
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1905-03-09,DEU,USA,50.97178 13.960129 40.712784 -74.005941
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1905-03-11,DEU,USA,50.97178 13.960129 40.712784 -74.005941
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1905-03-20,DEU,USA,50.97178 13.960129 40.712784 -74.005941
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1905-03-25,DEU,USA,50.97178 13.960129 40.712784 -74.005941
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1905-04-02,DEU,USA,50.97178 13.960129 40.712784 -74.005941
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1905-04-04,DEU,USA,50.97178 13.960129 40.712784 -74.005941
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1905-04-04,DEU,USA,50.97178 13.960129 40.712784 -74.005941
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1905-04-20,DEU,USA,50.97178 13.960129 40.712784 -74.005941
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1905-04-28,DEU,USA,50.97178 13.960129 40.712784 -74.005941
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1905-04-28,DEU,USA,50.97178 13.960129 40.712784 -74.005941
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1905-05-04,DEU,USA,50.97178 13.960129 40.712784 -74.005941
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1905-05-04,DEU,USA,50.97178 13.960129 40.712784 -74.005941
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1905-05-07,DEU,USA,50.97178 13.960129 40.712784 -74.005941
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1905-05-17,DEU,USA,50.97178 13.960129 40.712784 -74.005941
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1905-05-24,DEU,USA,50.97178 13.960129 40.712784 -74.005941
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1905-06-06,DEU,USA,50.97178 13.960129 40.712784 -74.005941
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1905-06-08,DEU,USA,50.97178 13.960129 40.712784 -74.005941
"USA, St Louis (MS)",38.600423,-90.221624,"DEU, Templin",53.116887,13.497969,1857-11-25,USA,DEU,38.600423 -90.221624 53.116887 13.497969
"USA, Mobile (AL)",30.696441,-88.180356,"DEU, Templin",53.116887,13.497969,1858-01-18,USA,DEU,30.696441 -88.180356 53.116887 13.497969
"USA, Mobile (AL)",30.696441,-88.180356,"DEU, Templin",53.116887,13.497969,1858-03-21,USA,DEU,30.696441 -88.180356 53.116887 13.497969
"USA, Laevenworth City (KA)",39.311111,-94.922464,"DEU, Templin",53.116887,13.497969,1858-05-02,USA,DEU,39.311111 -94.922464 53.116887 13.497969
"USA, St Louis (MS)",38.600423,-90.221624,"DEU, Templin",53.116887,13.497969,1858-12-30,USA,DEU,38.600423 -90.221624 53.116887 13.497969
"USA, Park County (KA)",43.919952,-94.70262,"DEU, Templin",53.116887,13.497969,1860-05-20,USA,DEU,43.919952 -94.70262 53.116887 13.497969
"USA, Lagrange (TN)",35.136443,-89.302732,"DEU, Templin",53.116887,13.497969,1864-08-02,USA,DEU,35.136443 -89.302732 53.116887 13.497969
"USA, Cairo (IL)",37.005329,-89.176461,"DEU, Templin",53.116887,13.497969,1864-09-12,USA,DEU,37.005329 -89.176461 53.116887 13.497969
"USA, Nashville (TN)",36.162664,-86.781602,"DEU, Templin",53.116887,13.497969,1864-12-30,USA,DEU,36.162664 -86.781602 53.116887 13.497969
"USA, Mobile (AL)",30.696441,-88.180356,"DEU, Templin",53.116887,13.497969,1865-03-24,USA,DEU,30.696441 -88.180356 53.116887 13.497969
"USA, Montgomery (AL)",32.366805,-86.299969,"DEU, Templin",53.116887,13.497969,1865-06-23,USA,DEU,32.366805 -86.299969 53.116887 13.497969
"USA, Conover (NC)",35.706522,-81.218693,"DEU, Templin",53.116887,13.497969,1865-09-16,USA,DEU,35.706522 -81.218693 53.116887 13.497969
"USA, Conover (NC)",35.706522,-81.218693,"DEU, Templin",53.116887,13.497969,1867-08-30,USA,DEU,35.706522 -81.218693 53.116887 13.497969
