sender.location,sender.latitude,sender.longitude,receiver.location,receiver.latitude,receiver.longitude,date
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1915-09-07
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1915-09-19
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1915-09-21
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1915-09-30
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1915-10-05
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1915-10-13
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1915-10-15
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1915-10-15
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1915-10-31
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1915-11-08
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1915-11-08
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1915-11-14
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1915-11-14
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1915-11-17
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1915-11-27
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1915-12-04
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1915-12-17
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1915-12-19
"USA, St Louis (MS)",38.600423,-90.221624,"DEU, Templin",53.116887,13.497969,1868-06-06
"USA, Mobile (AL)",30.696441,-88.180356,"DEU, Templin",53.116887,13.497969,1868-07-30
"USA, Mobile (AL)",30.696441,-88.180356,"DEU, Templin",53.116887,13.497969,1868-09-30
"USA, Laevenworth City (KA)",39.311111,-94.922464,"DEU, Templin",53.116887,13.497969,1868-11-11
"USA, St Louis (MS)",38.600423,-90.221624,"DEU, Templin",53.116887,13.497969,1869-07-11
"USA, Park County (KA)",43.919952,-94.70262,"DEU, Templin",53.116887,13.497969,1870-11-30
"USA, Lagrange (TN)",35.136443,-89.302732,"DEU, Templin",53.116887,13.497969,1875-02-12
"USA, Cairo (IL)",37.005329,-89.176461,"DEU, Templin",53.116887,13.497969,1875-03-25
"USA, Nashville (TN)",36.162664,-86.781602,"DEU, Templin",53.116887,13.497969,1875-07-12
"USA, Mobile (AL)",30.696441,-88.180356,"DEU, Templin",53.116887,13.497969,1875-10-04
"USA, Montgomery (AL)",32.366805,-86.299969,"DEU, Templin",53.116887,13.497969,1876-01-03
"USA, Conover (NC)",35.706522,-81.218693,"DEU, Templin",53.116887,13.497969,1876-03-28
"USA, Conover (NC)",35.706522,-81.218693,"DEU, Templin",53.116887,13.497969,1878-03-11
"USA, Conover (NC)",35.706522,-81.218693,"DEU, Templin",53.116887,13.497969,1879-01-08
"USA, Conover (NC)",35.706522,-81.218693,"DEU, Templin",53.116887,13.497969,1879-04-02
"USA, Conover (NC)",35.706522,-81.218693,"DEU, Templin",53.116887,13.497969,1879-10-08
"USA, Conover (NC)",35.706522,-81.218693,"DEU, Templin",53.116887,13.497969,1880-08-13
"USA, Conover (NC)",35.706522,-81.218693,"DEU, Templin",53.116887,13.497969,1910-06-23
"USA, Spokane (WA)",47.65878,-117.426047,"DEU, Langen",49.991466,8.663401,1936-01-22
"USA, Spokane (WA)",47.65878,-117.426047,"DEU, Munich",48.135125,11.581981,1936-06-08
"USA, Spokane (WA)",47.65878,-117.426047,"DEU, Munich",48.135125,11.581981,1936-07-31
"USA, Spokane (WA)",47.65878,-117.426047,"DEU, Munich",48.135125,11.581981,1936-10-03
