Series	AF	FDR	TPR
[MQ 16] Local	0.1	1	0
[MQ 16] Thesaurus	0.1	1	0
[MQ 1] Local	0.1	0.111111111111111	2.62310390573614e-06
[MQ 1] Thesaurus	0.1	0.0909090909090909	3.27887988217017e-06
Mutect	0.1	0.00261096605744125	0.000125253211498901
[MQ 16] Local	0.2	4.65300451481028e-07	0.704679814100626
[MQ 16] Thesaurus	0.2	4.65682245445278e-07	0.704102075465388
[MQ 1] Local	0.2	0.00579956700005025	0.733130654838217
[MQ 1] Thesaurus	0.2	4.39995793640213e-07	0.74520676944425
Mutect	0.2	3.76224280837882e-07	0.871522338024973
[MQ 16] Local	0.3	3.69037597919514e-07	0.888494476071062
[MQ 16] Thesaurus	0.3	3.69835752244071e-07	0.886576987115969
[MQ 1] Local	0.3	0.0181693306478892	0.937459956679439
[MQ 1] Thesaurus	0.3	3.44229220861255e-07	0.952527721289964
Mutect	0.3	2.59237656121249e-06	0.885369047767378
[MQ 16] Local	0.4	1.10105278997602e-06	0.893383941751355
[MQ 16] Thesaurus	0.4	3.68297672911154e-07	0.890279498278916
[MQ 1] Local	0.4	0.0338138853956846	0.954518657154418
[MQ 1] Thesaurus	0.4	3.39723648400972e-07	0.965160589699989
Mutect	0.4	7.75178060246101e-06	0.888259708271499
[MQ 16] Local	0.6	3.28775890644755e-06	0.897566480929051
[MQ 16] Thesaurus	0.6	3.6698042269539e-07	0.893475094612079
[MQ 1] Local	0.6	0.0593043789065637	0.971689495321366
[MQ 1] Thesaurus	0.6	3.02911076414704e-06	0.974207675070873
Mutect	0.6	1.80406060907295e-05	0.890558858844877
[MQ 16] Local	0.8	6.92350943218842e-06	0.899807923216502
[MQ 16] Thesaurus	0.8	3.66242545590788e-07	0.89527519966739
[MQ 1] Local	0.8	0.0781777074621298	0.978729250428386
[MQ 1] Thesaurus	0.8	9.05942682013112e-06	0.977202603955247
Mutect	0.8	3.05152331676319e-05	0.891812702511819
[MQ 16] Local	1	1.1275708159939e-05	0.901443428501729
[MQ 16] Thesaurus	1	3.65661864429401e-07	0.896696921984299
[MQ 1] Local	1	0.0937681122136284	0.981775329838922
[MQ 1] Thesaurus	1	1.30711900581199e-05	0.978293815180033
Mutect	1	4.37009168011663e-05	0.892818007083692
