sender.location,sender.latitude,sender.longitude,receiver.location,receiver.latitude,receiver.longitude,date
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1918-11-25
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1918-12-07
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1918-12-09
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1918-12-18
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1918-12-23
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1918-12-31
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1919-01-02
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1919-01-02
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1919-01-18
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1919-01-26
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1919-01-26
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1919-02-01
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1919-02-01
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1919-02-04
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1919-02-14
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1919-02-21
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1919-03-06
"DEU, Mockethal",50.97178,13.960129,"USA, New York (NY)",40.712784,-74.005941000000007,1919-03-08
"USA, St Louis (MS)",38.600423,-90.221624,"DEU, Templin",53.116887,13.497969,1871-08-25
"USA, Mobile (AL)",30.696441,-88.180356,"DEU, Templin",53.116887,13.497969,1871-10-18
"USA, Mobile (AL)",30.696441,-88.180356,"DEU, Templin",53.116887,13.497969,1871-12-19
"USA, Laevenworth City (KA)",39.311111,-94.922464,"DEU, Templin",53.116887,13.497969,1872-01-30
"USA, St Louis (MS)",38.600423,-90.221624,"DEU, Templin",53.116887,13.497969,1872-09-28
"USA, Park County (KA)",43.919952,-94.70262,"DEU, Templin",53.116887,13.497969,1874-02-17
